"logFC" "logCPM" "F" "PValue" "FDR"
"PLA2G7" 6.4409091752068 7.94521912780426 94.0332732850914 1.44835980692477e-20 3.56391486917063e-18
"SYNPO2L" 7.48443587474398 6.54336493646443 93.2413676942741 2.03406923891921e-20 4.92441601228668e-18
"ALDH3A1" -2.59899111229505 7.47944824703918 92.924890378763 2.33004706804555e-20 5.55142960180375e-18
"CCN5" 8.04758461643004 7.26687290500535 92.7993546019326 2.45910175396369e-20 5.76736208234296e-18
"KRT19" -2.49169026762657 7.52615093704696 92.2974190140288 3.05095467632256e-20 7.04535841409255e-18
"PCSK5" 4.20108462710255 11.0211241308523 92.1578266625825 3.23964629662149e-20 7.36774104731645e-18
"PARP9" 2.38690590807535 8.22023489387995 92.0132111025123 3.4474970668345e-20 7.72342253331132e-18
"ZMYND10" -3.04963126121593 5.78808320602309 91.2441071655475 4.80003366988399e-20 1.05953684389645e-17
"KRT8" -2.05423111291536 8.1667196282128 91.1063042377484 5.09353124448747e-20 1.10802759390952e-17
"CLDN4" -2.92732112090688 5.49050111445639 90.5909955347987 6.3599993744914e-20 1.36116666591104e-17
"RPS7" -2.5348044925241 5.80668224709574 90.5625184946436 6.43856317652791e-20 1.36116666591104e-17
"MX2" 2.75286613006387 8.35011334582275 90.1067981268482 7.83703023485849e-20 1.63380310868369e-17
"RPS17" -2.24833506723215 7.09265282348422 89.6718753083573 9.4554362040737e-20 1.94419311538556e-17
"AGR2" -1.84094227850415 7.13076433815656 89.4395412995143 1.04534562564639e-19 2.12035646499356e-17
"GCHFR" -4.07481991099498 2.25505298608885 88.992338917933 1.26820747168289e-19 2.53810588666136e-17
"ATP5F1E" -2.69026484600011 5.21199661430326 88.5342295054572 1.54609329435405e-19 3.05353425634925e-17
"OPRM1" 5.86186883486086 7.2305957742487 87.5459141009427 2.37193705170894e-19 4.62373703196769e-17
"GADD45G" -4.17993977767611 1.98139776410374 87.4144090340244 2.51107057128532e-19 4.83220118910162e-17
"GUK1" -2.89867107979704 5.10335991138153 87.1650268823285 2.7978257587522e-19 5.31586894162918e-17
"ATP5IF1" -2.76982381363146 4.33221015638937 86.9195747227913 3.11216364106518e-19 5.83919703154855e-17
"RPL15" -1.70364104251857 8.48466999548569 86.6455522916527 3.50517916532086e-19 6.49539991005754e-17
"CMPK2" 3.12592299843335 7.32409559553126 86.5338606090299 3.67933243279041e-19 6.73497314831513e-17
"OASL" 4.08797405353969 6.4755246132842 85.8869261622592 4.87333380295886e-19 8.81310125089308e-17
"EEF1G" -2.09736999299142 8.00066635766608 85.5926712633313 5.53846332308554e-19 9.89670648565643e-17
"COPS9" -4.24176265413108 2.37367376559398 85.4053792501763 6.00855449130611e-19 1.06104003428829e-16
"SAMD9L" 2.9261558762079 8.45924731817399 85.3225101414249 6.22914253578941e-19 1.08720266816511e-16
"SBK1" 3.35674594183681 5.72193340019979 84.3765649549355 9.40435195732792e-19 1.62252095263784e-16
"RPS15A" -1.92374652050938 7.60273362990269 82.6673084810366 1.98313100066281e-18 3.38259049090327e-16
"RPL7" -2.217051207311 7.52799278035142 82.3850003070118 2.24369176246158e-18 3.78402397242115e-16
"SLC25A25" -3.33801424809259 4.37172972382949 82.2440860159563 2.38634727776617e-18 3.97989695991892e-16
"MB" -3.94582324227905 2.59742345833434 82.1114648200711 2.52891800349319e-18 4.17132519037724e-16
"EPSTI1" 2.69344756939215 6.99100563700494 81.2862916070681 3.62970195547331e-18 5.92193764691895e-16
"EIF2AK2" 2.06871005501694 8.50553636722071 81.1221197474833 3.90051315072688e-18 6.29534434326994e-16
"CIB1" -3.40266459418257 5.27489292164846 80.8961405651466 4.30678141895658e-18 6.87710522324876e-16
"CCN1" -3.57489960930601 4.80122427643999 80.19306686807 5.86332642201746e-18 9.25373443793435e-16
"RSAD2" 3.36367524495101 8.5794636747332 80.1717588812334 5.91844441067087e-18 9.25373443793435e-16
"DDX60" 2.56867850134218 7.07690787137405 79.8989966528101 6.67172184440981e-18 1.03239736994424e-15
"DGKA" 5.36567912386112 8.91751803546127 79.8706251985778 6.75540438651633e-18 1.03467979430214e-15
"IFIT5" 2.76294840510993 6.27824415822975 79.8404481484867 6.84556962028841e-18 1.03789898990433e-15
"CXCL11" 6.22671801262441 6.75130814930382 79.6453037328976 7.45853721468907e-18 1.11952643592483e-15
"RPL8" -2.28425228978243 7.61820790468122 79.127955954162 9.36385850795979e-18 1.38308143174266e-15
"OSR1" 7.20130071563211 5.74233625334657 79.1141588252319 9.42087038883731e-18 1.38308143174266e-15
"IFI44" 2.74295404113329 7.17142171009127 79.0973419317247 9.49083194333735e-18 1.38308143174266e-15
"RPL7A" -1.84055741803412 7.88552624088624 78.9933165497201 9.93534361501678e-18 1.43019177121894e-15
"MX1" 2.2677115794456 8.92219371730815 78.9775145552712 1.0004672616788e-17 1.43019177121894e-15
"MS4A2" 7.67186590403342 6.28814870411255 78.0222594766999 1.52379354154429e-17 2.15774915646979e-15
